Data Series,Value
Asia,112797.2
Brunei Darussalam,52.6
Cambodia,145.3
Hong Kong,20876.3
India,9891.2
Indonesia,3269.4
Japan,16573.8
Mainland China,23805.5
Malaysia,4895.9
Myanmar,193.1
Philippines,1988
Republic Of Korea,7125.1
Saudi Arabia,445.1
Taiwan,9718.7
Thailand,4469.6
United Arab Emirates,3720.9
Vietnam,1926.8
ASEAN,17280.2
Europe,60713.9
Belgium,1084.4
Denmark,2758.9
France,4315
Germany,4834.8
Italy,733.1
Netherlands,5437
Norway,1739.9
Switzerland,9295.4
United Kingdom,13366.9
European Union (EU-27),31895.2
North America,81960.9
United States Of America,80366.1
Canada,1594.7
Oceania,14702.3
Australia,6738.8
New Zealand,625.5
South And Central America And The Caribbean,11812.1
Panama,2203.5
Africa,6486.6
South Africa,452.8