Data_Series,Hong_Kong_SARs,India,Japan,Mainland_China,Korea,Saudi_Arabia,Taiwan China,United_Arab_Emirates,ASEAN,European_Union,UK,US,Canada,Australia,Latin_America,Africa
2000,0.04731617,0.01510561,0.07948094,0.02476268,0.01495299,0.00065627,0.01777266,0.00579576,0.09919187,0.08014102,0.08071716,0.48570328,0.00468163,0.02552578,0.01406779,0.00412838
2001,0.04945926,0.02002077,0.06081381,0.0249602,0.01979873,0.00066952,0.0173461,0.00700607,0.10344462,0.0896511,0.10480758,0.42630813,0.00435873,0.02953755,0.03778361,0.00403421
2002,0.04896189,0.01989781,0.06705979,0.02653247,0.02066964,0.00096633,0.01850234,0.00724595,0.10282953,0.08822957,0.11044288,0.40508174,0.00430682,0.03108628,0.04346027,0.00472669
2003,0.04219667,0.01982883,0.0703787,0.03458464,0.01905761,0.00150738,0.01832896,0.00767212,0.08577052,0.12039522,0.12686795,0.36556509,0.00310741,0.03454458,0.0446205,0.00557381
2004,0.04524285,0.02121185,0.10173383,0.04474212,0.02170851,0.00177902,0.01840694,0.00749264,0.09228305,0.1126522,0.10853644,0.33021564,0.00246701,0.03413111,0.05023795,0.00715882
2005,0.04503006,0.02332912,0.08783767,0.04353974,0.02271063,0.00208831,0.02012679,0.0070604,0.08975274,0.11181508,0.13516096,0.3150502,0.00318742,0.03078818,0.05288405,0.00963865
2006,0.04709963,0.02423416,0.10246428,0.04007667,0.02051273,0.0031653,0.01921616,0.00658222,0.07915487,0.15391519,0.11941105,0.28413313,0.00326466,0.03018973,0.05337413,0.0132061
2007,0.05125278,0.02722076,0.08284022,0.04895805,0.02318024,0.00169047,0.02206199,0.00768209,0.08188505,0.12997239,0.11465334,0.29834797,0.00464042,0.03403505,0.06042732,0.01115185
2008,0.04545506,0.02941992,0.07347391,0.05196871,0.02480906,0.0017874,0.02405271,0.00798747,0.08602331,0.14978507,0.11952226,0.26961338,0.00481029,0.02937727,0.07004963,0.01186455
2009,0.04447359,0.02986361,0.06379232,0.05622835,0.02020361,0.00144729,0.02323149,0.01336455,0.07940397,0.14571508,0.09235338,0.29582915,0.0049322,0.03351357,0.08216397,0.01348388
2010,0.0470729,0.0296994,0.05943289,0.05864424,0.02184145,0.00157951,0.02554054,0.012162,0.07726947,0.16696383,0.08338072,0.27426158,0.00612885,0.03377796,0.08985605,0.01238859
2011,0.04011659,0.03030075,0.0689895,0.06541891,0.02234903,0.00213361,0.02346058,0.0130732,0.07496219,0.18275842,0.08304002,0.20967061,0.00691746,0.04268953,0.11890362,0.01521597
2012,0.03729278,0.02677688,0.05709929,0.06162788,0.02166604,0.00145609,0.018457,0.01272866,0.06979977,0.18799577,0.06383976,0.26078435,0.00614235,0.04119154,0.11759524,0.01554659
2013,0.03936892,0.02746563,0.04959601,0.06166383,0.02015063,0.00144987,0.01965472,0.0148177,0.0669535,0.2078194,0.06434883,0.22945775,0.00829986,0.04104588,0.12745018,0.02045728
2014,0.05156507,0.02579832,0.04564277,0.0695819,0.02212158,0.00171003,0.02312409,0.01243184,0.06024223,0.22960945,0.04456233,0.24124641,0.00790781,0.03740639,0.10480456,0.02224522
2015,0.0562334,0.02619263,0.0455301,0.07063688,0.02149618,0.00399289,0.02484198,0.012801,0.06527063,0.22570273,0.04649327,0.26350212,0.00652155,0.03369162,0.07691828,0.02017473
2016,0.05752538,0.02963117,0.05173223,0.06264467,0.02479001,0.00235365,0.02985081,0.01368847,0.07061342,0.1979055,0.04102968,0.2698478,0.00675944,0.03610144,0.08565027,0.01987607
2017,0.06056754,0.03042488,0.05111972,0.06889318,0.02491085,0.00230148,0.02881497,0.01238375,0.06913621,0.19437532,0.04070762,0.24100015,0.00604656,0.03688694,0.11244938,0.01998143
2018,0.0631361,0.03413936,0.07114989,0.07431962,0.0266041,0.00208368,0.0274488,0.01229402,0.07043106,0.21084897,0.03991759,0.24497064,0.00750405,0.03482022,0.05940254,0.02092937
2019,0.06553863,0.03875048,0.07417549,0.07859581,0.02706885,0.00219068,0.03094325,0.01156776,0.07106827,0.19657293,0.04091519,0.24073119,0.00782072,0.03091478,0.06253431,0.02061168
2020,0.06392196,0.03786251,0.06650464,0.08630399,0.02612909,0.00207964,0.03177067,0.01214476,0.06888272,0.12758873,0.0506764,0.31644581,0.00710268,0.02586957,0.05168378,0.02503305
2021,0.07977273,0.03779635,0.06333197,0.09096582,0.0272265,0.00170082,0.0371372,0.01421834,0.06603128,0.12187826,0.05107773,0.30709576,0.00609368,0.02575037,0.04513652,0.02478666