Data_Series,Per_Capita_GDP_In_Chained_2015_Dollars_Dollar
1961,5193
1962,5433
1963,5829
1964,5505
1965,5794
1966,6227
1967,6853
1968,7647
1969,8575
1970,9620
1971,10618
1972,11811
1973,12821
1974,13381
1975,13713
1976,14535
1977,15318
1978,16311
1979,17645
1980,19185
1981,20261
1982,20768
1983,22254
1984,23758
1985,23577
1986,23916
1987,26103
1988,28316
1989,30290
1990,31996
1991,33178
1992,34334
1993,37312
1994,40173
1995,41767
1996,43100
1997,45143
1998,42679
1999,44761
2000,47968
2001,46191
2002,47567
2003,50470
2004,54795
2005,57465
2006,60711
2007,63488
2008,61319
2009,59573
2010,67026
2011,69722
2012,71051
2013,73276
2014,75178
2015,76503
2016,78236
2017,81719
2018,84245
2019,84395
2020,81356
2021,92354
2022,92608